"nutM_code","year","year_start","year_end","response","temperature_winter","temperature_fall","precipitation_spring","precipitation_fall","relative_humidity_winter","relative_humidity_fall","pastures","urbanAreas","primaryNonForest"
"PL416",2024,NA,NA,0,3.20475721359253,10.5727424621582,1.43137514591217,1.90869331359863,83.8184967041016,79.2838668823242,0.112855061888695,0.0150838894769549,0
"DED5",2023,NA,NA,0,3.26000070571899,12.3413381576538,1.84719204902649,2.49202704429626,82.2565078735352,76.5903015136719,0.145126566290855,0.0645119622349739,1.97152113167685e-17
"LT026",2017,NA,NA,0,-1.22322952747345,7.87240982055664,1.61037039756775,3.15229725837708,87.4457550048828,88.3365783691406,0.135689616203308,0.0076713957823813,0.027504239231348
"MEG125355",2023,NA,NA,0,6.93825912475586,16.0495128631592,5.77659511566162,7.92907810211182,77.4294509887695,75.4448318481445,0.0330988951027393,0.0102595183998346,0.0020193001255393
"HU213",2020,NA,NA,0,3.45047354698181,11.5837354660034,1.17552781105042,2.05173420906067,79.0815353393555,81.3066482543945,0.0709041282534599,0.0172597728669643,3.23837567872687e-10
"BG322",2024,NA,NA,0,4.2381386756897,11.6970748901367,2.80388450622559,1.47646284103394,76.6933898925781,70.6930465698242,0.104060932993889,0.00916137918829918,8.46088587422855e-05
"ITG28",2022,NA,NA,0,9.17884159088135,18.9130096435547,1.77231323719025,2.54741835594177,78.2624969482422,74.5136337280273,0.130033537745476,0.0103729497641325,6.13161799112305e-10
"BG323",2022,NA,NA,0,3.3412184715271,14.2808418273926,1.49721336364746,0.940872728824615,77.5265960693359,69.6368637084961,0.19126071035862,0.0119627015665174,0.0101089179515839
"EL653",2018,NA,NA,0,10.7683095932007,18.9931926727295,1.01742136478424,2.77800559997559,75.6196212768555,69.8046417236328,0.142275542020798,0.00178392289672047,0.0339916497468948
"PL622",2024,NA,NA,0,1.05112016201019,10.0388040542603,1.50071573257446,1.27717936038971,89.4861679077148,80.3888473510742,0.0946667194366455,0.0086248368024826,0.00777423987165093
"HU323",2010,NA,NA,0,0.511251032352448,10.6317481994629,3.19438982009888,2.10823035240173,82.24560546875,79.0927429199219,0.0975713059306145,0.0231377575546503,0.0265323519706726
"RO213",2017,NA,NA,0,-1.72574031352997,11.2737588882446,1.91320288181305,1.44282829761505,77.7571640014648,73.8417282104492,0.16837066411972,0.0094137517735362,0.115850448608398
"RSG125384",2024,NA,NA,0,3.47601556777954,10.5632934570312,2.53072285652161,2.10239577293396,76.7024383544922,75.8743057250977,0.0951821282505989,0.0082203047350049,0.271650731563568
"EL511",2013,NA,NA,0,5.94485425949097,15.8742942810059,1.74722397327423,1.98454999923706,81.8442840576172,68.6098556518555,0.126181364059448,0.00217327498830855,0.124422505497932
"BG341",2024,NA,NA,0,6.4960446357727,13.8372621536255,2.0184383392334,1.53239560127258,78.6170120239258,75.3814468383789,0.100655861198902,0.00562038132920861,0.0874054431915283
"SK042",2024,NA,NA,0,1.83667993545532,9.07410526275635,2.08348703384399,1.8330374956131,84.1533203125,81.0883560180664,0.0898830518126488,0.0244973860681057,0.0051858015358448
"UKM93",2023,NA,NA,0,4.98572206497192,10.010684967041,3.02850461006165,4.41001653671265,86.5808029174805,86.6870880126953,0.359643518924713,0.0769483223557472,0
"ITG25",2017,NA,NA,0,10.5033950805664,16.8262119293213,0.463425070047379,1.03565847873688,77.4757385253906,70.8283233642578,0.144182458519936,0.0137970736250281,2.6243252015945e-10
"AL021",2017,NA,NA,0,2.82852745056152,12.5852088928223,2.82478308677673,3.52850365638733,71.4690246582031,72.6750183105469,0.141327455639839,0.0118947299197316,0
"NO071",2014,NA,NA,0,-3.68944787979126,3.28309488296509,4.79218626022339,4.16462659835815,75.5643920898438,81.760139465332,0.000899680482689291,0.00159770785830915,0.0113211022689939
"NO021",2018,NA,NA,0,-7.78030443191528,3.7066547870636,1.18484127521515,2.39049220085144,86.1073532104492,82.7423706054688,0.00709359301254153,0.00250830035656691,0
"ITF12",2024,NA,NA,0,7.99860858917236,15.2397699356079,2.84569430351257,3.62522172927856,76.5965957641602,78.0873031616211,0.0590819790959358,0.0436510220170021,2.89942093771589e-12
