"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"FRD13",288631.125,282654.75,273160.3125,259872.109375
"FRD21",921197.75,940053.8125,957538.5,937094.0625
"FRD22",596322.6875,603230.875,604577.8125,585129.3125
"FRE11",1962358.375,2060425.25,2225240.25,2261182
"FRE12",1230702.375,1288116.125,1382006.5,1406576.125
"FRE21",603016.875,599158.8125,591551.125,565500.3125
"FRE22",1195612.375,1235128.5,1283351.5,1266398.75
"FRE23",614848.6875,626337.9375,641511.75,632697.3125
"FRF11",1257516.5,1312506.5,1398689.625,1412795
"FRF12",826354.25,871690.0625,942728.4375,949514.1875
"FRF21",341086.9375,337311.34375,332991.8125,318394.53125
"FRF22",319570.09375,326577.34375,331736.9375,326831.90625
"FRF23",484460.21875,495445.84375,514127.0625,507691.84375
"FRF24",156091.1875,151589.140625,144498.84375,136366.671875
"FRF31",597420.8125,615043.5625,638006.6875,634314.5
"FRF32",256058.203125,253634.65625,248339.34375,236195.171875
"FRF33",1364430.75,1380884.25,1406276.125,1366352.375
"FRF34",411254.15625,405821.125,394762.40625,375851.71875
"FRG01",1339438.25,1399212.75,1466680.5,1466891
"FRG02",843571.3125,863344.25,883068.5,864920.9375
"FRG03",356197.6875,351104.96875,336985.84375,318067.8125
"FRG04",539679.1875,551543.4375,565545.5,555032.3125
"FRG05",584838.625,582779.25,562973.375,531704.125
"FRH01",387641.8125,380616.40625,367378.53125,347977.5625
"FRH02",334927.28125,336582.875,341141.65625,332420.875
"FRH03",953453.6875,996043.375,1046980.875,1045873.25
"FRH04",688512.5,684727.3125,664855.5,632214.9375
"FRI11",441445.40625,429720.53125,406976.3125,382994.34375
"FRI12",1343594.5,1425225.75,1531302.625,1551488.5
"FRI13",406785.03125,404817.0625,391934.40625,371538.96875
"FRI14",314238.40625,307022.6875,292164.0625,274876.4375
"FRI15",575943.6875,586189.5,594030.0625,575379.375
"FRI21",225315.921875,218041.59375,204703.625,191356.546875
"FRI22",117890.2890625,112753,106098.4765625,99483.0234375
"FRI23",348792.53125,350448.5625,348647.53125,340936.5
"FRI31",365670.28125,358916.46875,343545.375,323585.0625
"FRI32",419878.75,418103.8125,405417.71875,383943.09375
"FRI33",394640.6875,386796.59375,370116.90625,348021.15625
"FRI34",425108.46875,429596.71875,426842,411200.1875
"FRJ11",481765.6875,488260.15625,488266.4375,473151.4375
"FRJ12",870945.5,908559.6875,953747.125,952486.9375
"FRJ13",828770.1875,861645.875,895724.875,882256.25
"FRJ14",93554.8359375,91453.8125,86593.671875,81254.375
"FRJ15",376845.53125,389078.75,403757.5625,400235.875
"FRJ21",242944.171875,245473.359375,245627,237413.5
"FRJ22",289485.375,284922.0625,273657.40625,258358.421875
"FRJ23",984248.25,1038660.25,1109162.5,1124212.625
"FRJ24",343462.78125,345786.1875,345425.09375,336147.28125
"FRJ25",222385.9375,216145.484375,204767.234375,192692.3125
"FRJ26",220247.546875,217713.328125,210308.53125,199521.25
"FRJ27",462224.03125,463509.46875,456804.625,440501.8125
"FRJ28",571004.75,597416.125,631827.25,634912.25
"FRK11",317412.8125,309865.15625,297963.40625,282233.46875
"FRK12",140322.859375,137084.890625,131177.203125,123904.09375
"FRK13",354807.15625,366938.6875,382678.40625,383681.28125
"FRK14",691369.5625,719925.6875,751790.375,751507.125
"FRK21",974199.1875,996437.875,1008525.5625,977267.4375
"FRK22",541451.8125,548530.5625,547706.9375,526977
"FRK23",489827,496093.875,493689.4375,474104.59375
"FRK24",1321956.25,1386405.625,1450446.5,1438440.875
"FRK25",569457.75,581660.9375,590746.375,579690.125
"FRK26",1601846.375,1681319.875,1750431,1722493.125
"FRK27",508521.4375,527037.375,547234.125,540727.4375
"FRK28",1083573.375,1147313.125,1240488.875,1236763.125
"FRL01",255223.84375,254754.5,246571.984375,233025.828125
"FRL02",146408.109375,146667.375,142653.578125,135648.921875
"FRL03",754587.125,790207.8125,839304.1875,837685.5
"FRL04",783835.3125,811013.375,843473.6875,834299.375
"FRL05",767655.5625,785442.9375,786755.625,754964.75
"FRL06",493477.96875,506134.25,517515.8125,506186.03125
"FRM01",84493.6484375,85680.671875,85162.34375,82722.7734375
