"year","disease","region_name","case_numbers","source","nutM_code"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2014,"Chikungunya","Herault","12","ECDC","FRJ13"
2017,"Chikungunya","Var","17","ECDC","FRL05"
2007,"Chikungunya","Ravenna","217","Cattaneo et al. 2025","ITH57"
2007,"Chikungunya","Ravenna","217","Cattaneo et al. 2025","ITH57"
2007,"Chikungunya","Ravenna","166","Cattaneo et al. 2025","ITH57"
2007,"Chikungunya","Ravenna","204","Cattaneo et al. 2025","ITH57"
2020,"Dengue","Treviso","11","Cattaneo et al. 2025","ITH34"
2017,"Chikungunya","Var","7","Cattaneo et al. 2025","FRL05"
2007,"Chikungunya","Ravenna","217","Cattaneo et al. 2025","ITH57"
2017,"Chikungunya","Roma","270","Cattaneo et al. 2025","ITI43"
2022,"Dengue","Alpes-Maritimes","34","Cattaneo et al. 2025","FRL03"
2022,"Dengue","Var","10","Cattaneo et al. 2025","FRL05"
2022,"Dengue","Var","7","Cattaneo et al. 2025","FRL05"
2022,"Dengue","Hautes-Pyrenees","4","Cattaneo et al. 2025","FRJ26"
2022,"Dengue","Haute-Garonne","4","Cattaneo et al. 2025","FRJ23"
2022,"Dengue","Haute-Garonne","2","Cattaneo et al. 2025","FRJ23"
