"Longitude","Latitude","Admin","Year","disease"
-61.35576,15.4356,"0",2014,"chik"
-62.75,17.33333,"0",2014,"chik"
75.38977,12.55819,"-999",2008,"chik"
75.21667,12.76667,"-999",2008,"chik"
74.88333,12.86667,"-999",2008,"chik"
75.321,13.005,"-999",2008,"chik"
76.4,14.23333,"-999",2008,"chik"
77.59457,12.9716,"-999",2008,"chik"
75,12.5,"-999",2008,"chik"
110.94444,-7.59833,"-999",2014,"chik"
-61.33333,15.56667,"-999",2014,"chik"
30.06667,0.81667,"-999",2014,"chik"
13.23118,-8.85838,"-999",2014,"chik"
110.92056,-7.81444,"-999",2014,"chik"
-52.36667,4.91667,"-999",2014,"chik"
-70.48463,18.89445,"0",2014,"chik"
90.40714,23.70992,"-999",2014,"chik"
-63.0506,18.2163,"0",2014,"chik"
112.62806,-7.97778,"-999",2014,"chik"
-70.05288,18.38629,"-999",2014,"chik"
-61.85,17.11667,"-999",2014,"chik"
-69.33333,18.83333,"1",2014,"chik"
110.72417,-7.21444,"-999",2014,"chik"
114.6859,-8.3736,"-999",2008,"chik"
114.79,-8.4091,"-999",2008,"chik"
110.32889,-7.88806,"-999",2014,"chik"
-70.49377,18.28297,"-999",2014,"chik"
114.35755,-8.2325,"-999",2014,"chik"
106.81861,-6.4,"-999",2014,"chik"
109.34472,-7.34917,"-999",2014,"chik"
-61.22773,13.0123,"-999",2014,"chik"
-70.2,18.55,"1",2014,"chik"
111.71667,-8.28333,"-999",2014,"chik"
-72.32234,18.65486,"1",2014,"chik"
-73.08333,19.75,"1",2014,"chik"
-72.4,18.3,"1",2014,"chik"
-73.66667,18.25,"1",2014,"chik"
-73.4285,18.44835,"1",2014,"chik"
114.6942,-8.3213,"2",2014,"chik"
119.2244,-3.3433,"-999",2014,"chik"
-69.91871,18.48042,"1",2014,"chik"
-61.2,13.25,"-999",2014,"chik"
110.4255,-6.97143,"-999",2014,"chik"
-72.335,18.53917,"-999",2014,"chik"
-88.86651,13.7369,"0",2014,"chik"
79,16,"1",2006,"chik"
103.70944,1.43667,"-999",2008,"chik"
-88.56016,13.70303,"-999",2014,"chik"
-88.75,13.51667,"1",2014,"chik"
-78.1128,24.6595,"0",2014,"chik"
-72.67946,18.94161,"0",2014,"chik"
-60.96871,13.89787,"0",2014,"chik"
-61.26367,10.44273,"0",2014,"chik"
-64.7754,17.7277,"1",2014,"chik"
74.81709,13.06929,"-999",2008,"chik"
102.55,2.26667,"-999",2008,"chik"
-80.44978,26.65035,"2",2014,"chik"
-72.16667,10,"1",2014,"chik"
-79.5,9.03333,"-999",2014,"chik"
-89.51833,13.58528,"-999",2014,"chik"
-89.18333,13.95,"-999",2014,"chik"
