"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"DEA1",4816741,4697173.5,4383960.5,4137605.75
"DEA2",4854280.5,4726446,4417489,4133453.75
"DEA3",3270199.75,3131087.5,2823437.75,2636348.25
"DEA4",1973758.75,1902506.875,1770055.25,1692289.125
"DEA5",3112101,2968584,2675793,2454047.25
"DEB1",1869443.875,1768051,1568058.5,1427504.875
"DEB2",644204.125,617948.625,568940.25,547896.375
"DEB3",2433711,2367302.25,2226915,2102262.5
"DEC0",746020.375,715505.375,659972.5625,610984
"DED2",1452222.625,1407431.375,1333366,1283866.875
"DED4",1408188.125,1371835.5,1345977.375,1381033.5
"DED5",793808.4375,775375.625,748581.75,747511.9375
"DEE0",2506853.75,2426080.75,2327612.5,2348242
"DEF0",3640985.5,3520016.75,3241060,3117649.5
"DEG0",2246352.75,2149037.75,2038403.75,2051206.125
"DK01",873894.625,888299.9375,949246.25,1036125.1875
"DK02",598471.125,597790.375,622551.75,671416.625
"DK03",918598.9375,915551.75,951128.5,1050783
"DK04",1194448.125,1197806.25,1287847.625,1434238
"DK05",421369.25,422036.375,453955.625,515810.15625
"EE001",413036.28125,379320.28125,359488.625,330180.03125
"EE004",115243.7109375,111406.3828125,102308.3515625,109411.9140625
"EE006",319521.09375,295462.40625,278979.09375,265065.09375
"EE007",68611.953125,65127.1796875,63352.91796875,68637.71875
"EE008",280835.40625,260342.703125,248662.9375,254393.34375
"EL301",58008.734375,55822.375,53706.703125,50087.2734375
"EL302",48697.6875,47112.0625,45320.2265625,43452.6640625
"EL303",80558.8515625,78699.1875,75686.875,76175.625
"EL305",996467.9375,966575.9375,929303.6875,901785
"EL306",212307.09375,204280.203125,193943.296875,178751.734375
"EL411",35582.6484375,36514.2734375,36323.71484375,38535.51953125
"EL412",9990.865234375,10867.6328125,11110.6279296875,11457.1162109375
"EL431",195837.734375,189214.140625,183026.765625,177264.25
"EL432",39695.96875,40858.1640625,35977.53515625,34845.64453125
"EL433",46780.22265625,44216.859375,41063.78515625,38776.34765625
"EL434",46308.5390625,44465.24609375,41026.609375,36978.6171875
"EL511",106730.296875,104972.2421875,100194.984375,100813.0234375
"EL512",78904.9453125,74375.015625,69738.140625,64927.86328125
"EL513",78727.3125,73465.1953125,67000.4375,64950.0625
"EL514",137060.71875,130012.125,122732.2109375,114446.9765625
"EL515",69062.265625,74179.578125,62131.0625,60099.86328125
"EL521",183177.484375,172839.390625,162297.21875,153584.953125
"EL522",545537.4375,526038.375,505067.90625,497789.53125
"EL523",435597.46875,419007.75,400135.90625,395921.375
"EL524",197934.265625,186492.5625,174141.203125,162317.953125
"EL525",67741.03125,64223.046875,58717.8125,54343.9921875
"EL526",151853.625,143433.171875,129844.703125,124699.3984375
"EL527",60146.703125,61258.60546875,52937.8359375,52854.72265625
"EL531",168690.734375,159268.484375,154567.953125,153857.96875
"EL532",34786.21484375,33307.76171875,33274.6171875,34863.6171875
"EL533",54930.6640625,52768.125,52030.453125,52912.515625
"EL541",63955.8125,59685.6328125,54849.62109375,55271.12109375
"EL542",43592.00390625,42048.671875,38491.16015625,37001.16796875
"EL543",185901.78125,178686.328125,171348.453125,160223.53125
"EL611",204133.34375,192335.109375,180532.09375,170210.296875
"EL612",275237.125,263551.96875,248521.796875,231007.90625
"EL613",115665.71875,116917.765625,100845.625,90586.21875
"EL621",5719.6640625,5650.0185546875,5225.9072265625,5233.44580078125
"EL622",18760.35546875,19322.91796875,16780.177734375,15997.04296875
"EL623",7892.873046875,8145.7392578125,7140.998046875,7347.13330078125
"EL631",192006.796875,184974.25,168308.125,158426.546875
"EL632",165183.703125,160706.265625,149060.296875,138572.75
"EL633",70003,64587.76953125,57906.16796875,56033.0625
"EL641",290325.8125,279288.1875,261864.8125,241934.46875
"EL642",406338.03125,390708.4375,370710.15625,344435.875
"EL643",42368.79296875,39439.7578125,36023.9453125,35211.44140625
"EL644",118777.78125,112493.265625,98886.5625,92870.15625
"EL645",78571.1875,74551.921875,65958.8359375,59236.87890625
"EL651",200984.171875,193704.828125,174432.703125,165634.15625
"EL652",100559.375,96239.3203125,87197.0625,82753.5
"EL653",128676.1953125,124037.75,110795.125,107359.1171875
"ES111",780894.75,754675.0625,692749.75,632901.3125
"ES112",251275.09375,238329.265625,218436.109375,225044.71875
"ES113",308054.25,289162.96875,262220,243455.15625
"ES114",585921.9375,566947.6875,515119.0625,459844.78125
"ES120",613528.5,604570.0625,583508.0625,548888.8125
"ES130",426502.84375,427091.15625,393077.96875,365360.125
"ES211",390060.1875,387323.3125,385535.8125,381616.34375
"ES212",286086.4375,280962.84375,272951.3125,256099.359375
"ES213",658668.6875,646214.625,639199.4375,647728.375
"ES220",856785.625,853340.4375,847147.9375,822667.125
"ES230",296478.8125,295015.09375,289681.40625,276992.65625
"ES241",317483.375,314696.625,310157.875,313662.75
"ES242",141292.390625,140813.21875,141751.0625,153893.875
"ES243",953741,954254.5,946914.5625,912723.0625
"ES300",5825520.5,5857055,5956333,6236890
"ES411",199704.03125,196576.46875,196804.421875,208002.34375
"ES412",510162.65625,509053.15625,500418.5,498218.90625
"ES413",440495.875,433406.6875,428350.71875,437094.25
"ES414",215851.359375,212844.546875,212353.65625,211754.21875
"ES415",313437.34375,311518.21875,314853.9375,327621.09375
"ES416",266404.71875,265736.09375,269340.9375,287026.625
"ES417",123986.4609375,122395.15625,123173.8359375,129287.53125
"ES418",404999.25,402007.96875,406322.34375,415207.65625
